#PROG: Sep 19 2016, 10:15:58
#RTC: 2016/9/19-10:15:27,
#StatsDelayMs=10000,EdiskDelayMs=1500000,NClickTimes=5,LedsThresh=[30,70,150,350,800,]
#StatsETA=4146,EdiskETA=1494146,isRec=1,clicks=0,maxCPM=0,EDISK_nextIx=301,
#  clickTimes=[5854,5854,5854,5854,5854,]
clicks,maxCPM
1474294340,11,447
1474294350,7,106
1474294360,7,57
1474294370,6,51
1474294380,6,83
1474294390,7,99
1474294400,6,118
1474294410,7,166
1474294420,6,61
1474294430,8,268
1474294440,5,74
1474294450,8,61
1474294460,8,143
1474294470,3,55
1474294480,4,28
1474294490,9,244
1474294500,6,64
1474294510,4,35
1474294520,8,65
1474294530,4,44
1474294541,3,39
1474294551,1,26
1474294561,8,143
1474294571,6,79
1474294581,3,37
1474294591,7,57
1474294601,10,110
1474294611,4,45
1474294621,4,29
1474294631,4,43
1474294641,3,37
1474294651,6,70
1474294661,8,84
1474294671,7,142
1474294681,3,31
1474294691,4,36
1474294701,2,29
1474294711,8,131
1474294721,6,78
1474294731,7,56
1474294741,4,63
1474294751,4,29
1474294761,3,36
1474294771,15,609
1474294781,9,227
1474294791,10,129
1474294801,5,63
1474294811,4,37
1474294821,6,68
1474294831,4,137
1474294841,5,43
1474294851,4,28
1474294861,3,47
1474294871,7,66
1474294881,6,65
1474294891,3,51
1474294901,2,15
1474294911,4,35
1474294921,14,313
1474294931,6,113
1474294941,4,30
1474294951,6,79
1474294961,4,45
1474294971,5,43
1474294981,7,67
1474294991,8,172
1474295001,7,156
1474295011,9,96
1474295021,2,29
1474295031,5,45
1474295041,9,93
1474295051,6,59
1474295061,5,53
1474295071,6,50
1474295081,7,69
1474295091,4,43
1474295101,11,148
1474295111,2,78
1474295121,3,20
1474295131,2,23
#Long loop: REC=1
1474295141,3,23
1474295151,5,32
1474295161,6,71
1474295171,6,133
1474295181,3,24
1474295191,1,14
1474295201,11,82
1474295211,5,51
1474295221,2,30
1474295231,5,49
1474295241,3,46
1474295251,4,33
1474295261,7,115
1474295271,4,19
1474295281,12,185
1474295291,4,67
1474295301,7,98
1474295311,4,34
1474295321,8,157
1474295331,2,45
1474295341,4,19
1474295351,3,36
1474295361,1,19
1474295371,3,17
1474295381,3,27
1474295391,6,70
1474295401,6,80
1474295411,7,96
1474295421,5,57
1474295431,3,27
1474295441,6,148
1474295451,6,52
1474295461,5,50
1474295471,8,102
1474295481,8,173
1474295491,9,121
1474295501,10,124
1474295511,3,68
1474295521,6,58
1474295531,8,69
1474295541,5,55
1474295551,9,140
1474295561,5,68
1474295571,3,71
1474295581,0,0
1474295591,7,115
1474295602,6,68
1474295612,7,78
1474295622,8,87
1474295632,11,102
1474295642,10,201
1474295652,9,91
1474295662,6,101
1474295672,6,40
1474295682,8,152
1474295692,5,74
1474295702,6,70
1474295712,3,71
1474295722,3,21
1474295732,9,77
1474295742,6,197
1474295752,5,55
1474295762,5,55
1474295772,7,255
1474295782,2,47
1474295792,5,48
1474295802,6,39
1474295812,10,132
1474295822,6,92
1474295832,5,55
1474295842,5,45
1474295852,3,47
1474295862,5,53
1474295872,1,21
1474295882,5,46
1474295892,3,26
1474295902,7,116
1474295912,7,315
1474295922,4,31
1474295932,4,33
1474295942,12,164
1474295952,6,74
1474295962,5,47
1474295972,3,40
1474295982,2,16
1474295992,7,82
1474296002,5,64
1474296012,7,57
1474296022,5,81
1474296032,9,120
1474296042,4,42
1474296052,6,49
1474296062,5,84
1474296072,3,29
1474296082,4,28
1474296092,9,134
1474296102,8,127
1474296112,5,71
1474296122,5,45
1474296132,5,73
1474296142,8,349
1474296152,5,55
1474296162,11,267
1474296172,8,180
1474296182,6,60
1474296192,7,141
1474296202,5,53
1474296212,5,36
1474296222,5,52
1474296232,8,77
1474296242,9,134
1474296252,8,68
1474296262,13,348
1474296272,7,63
1474296282,5,52
1474296292,6,205
1474296302,11,221
1474296312,4,31
1474296322,7,71
1474296332,12,220
1474296342,10,133
1474296352,5,64
1474296362,4,47
1474296372,6,162
1474296382,8,187
1474296392,4,31
1474296402,4,59
1474296412,6,120
1474296422,11,156
1474296432,4,67
1474296442,6,109
1474296452,5,92
1474296462,5,38
1474296472,5,45
1474296482,4,31
1474296492,5,45
1474296502,8,102
1474296512,11,320
1474296522,7,83
1474296532,2,27
1474296542,8,110
1474296552,6,60
1474296562,8,73
1474296572,3,44
1474296582,10,299
1474296592,4,34
1474296602,4,37
1474296612,5,46
1474296622,6,81
1474296632,9,87
#Long loop: REC=1
1474296643,5,94
1474296653,2,33
1474296663,3,19
1474296673,2,26
1474296683,5,33
1474296693,8,375
1474296703,3,40
1474296713,5,64
1474296723,3,42
1474296733,6,38
1474296743,6,86
1474296753,5,45
1474296763,10,149
1474296773,5,89
1474296783,7,95
1474296793,8,79
1474296803,6,146
1474296813,7,78
1474296823,4,30
1474296833,10,90
1474296843,2,87
1474296853,8,77
1474296863,6,86
1474296873,5,50
1474296883,6,70
1474296893,4,57
1474296903,7,91
1474296913,6,104
1474296923,3,69
1474296933,10,506
1474296943,4,43
1474296953,2,42
1474296963,7,115
1474296973,5,42
1474296983,10,85
1474296993,5,61
1474297003,10,104
1474297013,7,85
1474297023,7,65
1474297033,5,73
1474297043,6,106
1474297053,7,127
1474297063,6,81
1474297073,3,34
1474297083,7,86
1474297093,5,63
1474297103,3,60
1474297113,6,61
1474297123,4,27
1474297133,7,110
1474297143,5,54
1474297153,5,148
1474297163,9,265
1474297173,3,71
1474297183,3,38
1474297193,6,61
1474297203,4,31
1474297213,3,42
1474297223,7,44
1474297233,4,37
1474297243,9,105
1474297253,6,91
1474297263,3,94
1474297273,7,59
1474297283,5,53
1474297293,6,89
1474297303,6,116
1474297313,3,43
1474297323,4,70
1474297333,2,28
1474297343,8,133
1474297353,3,43
1474297363,4,27
1474297373,9,297
1474297383,9,187
1474297393,4,52
1474297403,6,58
1474297413,2,46
1474297423,2,24
1474297433,3,17
1474297443,6,53
1474297453,2,55
1474297463,7,62
1474297473,4,40
1474297483,7,50
1474297493,4,49
1474297503,3,34
1474297513,5,184
1474297523,7,66
1474297533,2,35
1474297543,12,204
1474297553,6,75
1474297563,9,127
1474297573,9,118
1474297583,4,40
1474297593,3,57
1474297603,5,44
1474297613,6,78
1474297623,2,78
1474297633,6,108
1474297643,5,88
1474297653,5,61
1474297663,5,36
1474297673,6,53
1474297683,9,110
1474297694,4,79
1474297704,8,74
1474297714,3,60
1474297724,2,18
1474297734,6,61
1474297744,9,87
1474297754,4,40
1474297764,4,46
1474297774,5,57
1474297784,8,174
1474297794,6,105
1474297804,5,91
1474297814,3,27
1474297824,3,39
1474297834,6,73
1474297844,6,151
1474297854,6,48
1474297864,6,134
1474297874,9,204
1474297884,9,160
1474297894,7,73
1474297904,11,131
1474297914,3,67
1474297924,6,64
1474297934,9,76
1474297944,3,85
1474297954,5,52
1474297964,3,31
1474297974,3,29
1474297984,6,47
1474297994,4,43
1474298004,5,45
1474298014,1,28
1474298024,7,66
1474298034,4,40
1474298044,7,54
1474298054,10,133
1474298064,5,66
1474298074,1,30
1474298084,3,21
1474298094,8,73
1474298104,4,43
1474298114,4,34
1474298124,6,66
1474298134,7,69
#Long loop: REC=1
1474298144,7,97
1474298154,2,53
1474298164,8,81
1474298174,6,122
1474298184,6,73
1474298194,10,140
1474298204,6,70
1474298214,5,46
1474298224,5,85
1474298234,5,35
1474298244,3,34
1474298254,8,89
1474298264,3,34
1474298274,4,40
1474298284,6,62
1474298294,4,29
1474298304,3,55
1474298314,10,149
1474298324,4,38
1474298334,2,50
1474298344,3,21
1474298354,5,48
1474298364,7,89
1474298374,7,87
1474298384,8,104
1474298394,6,56
1474298404,10,159
1474298414,6,114
1474298424,2,21
1474298434,2,15
1474298444,4,35
1474298454,5,46
1474298464,4,39
1474298474,7,107
1474298484,6,51
1474298494,4,67
1474298504,2,21
1474298514,7,57
1474298524,7,96
1474298534,9,162
1474298544,6,63
1474298554,6,56
1474298564,8,76
1474298574,3,68
1474298584,7,69
1474298594,7,88
1474298604,7,138
1474298614,6,56
1474298624,4,33
1474298634,8,163
1474298644,4,69
1474298654,6,90
1474298664,9,107
1474298674,7,108
1474298684,2,27
1474298694,2,20
1474298704,6,42
1474298714,7,71
1474298724,3,64
1474298734,7,76
1474298744,9,99
1474298755,2,30
1474298765,6,95
1474298775,6,63
1474298785,4,33
1474298795,4,64
1474298805,7,74
1474298815,4,31
1474298825,6,63
1474298835,6,73
1474298845,6,99
1474298855,5,321
1474298865,4,51
1474298875,7,69
1474298885,4,99
1474298895,6,65
1474298905,5,64
1474298915,3,37
1474298925,6,46
1474298935,5,57
1474298945,5,57
1474298955,5,43
1474298965,8,134
1474298975,6,40
1474298985,6,77
1474298995,4,40
1474299005,5,111
1474299015,3,25
1474299025,13,158
1474299035,2,58
1474299045,7,136
1474299055,9,99
1474299065,9,120
1474299075,5,63
1474299085,3,26
1474299095,9,200
1474299105,8,117
1474299115,5,192
1474299125,8,81
1474299135,5,73
1474299145,5,58
1474299155,4,32
1474299165,4,27
1474299175,3,49
1474299185,3,21
1474299195,8,122
1474299205,1,23
1474299215,4,30
1474299225,2,29
1474299235,10,125
1474299245,6,70
1474299255,2,43
1474299265,6,52
1474299275,5,65
1474299285,6,41
1474299295,3,26
1474299305,6,61
1474299315,8,82
1474299325,9,159
1474299335,6,79
1474299345,8,63
1474299355,7,110
1474299365,5,66
1474299375,5,49
1474299385,3,44
1474299395,5,51
1474299405,7,67
1474299415,5,67
1474299425,11,117
1474299435,1,24
1474299445,3,19
1474299455,10,145
1474299465,3,69
1474299475,8,107
1474299485,6,127
1474299495,3,32
1474299505,3,20
1474299515,6,68
1474299525,4,79
1474299535,7,89
1474299545,4,77
1474299555,6,105
1474299565,13,414
1474299575,4,70
1474299585,7,94
1474299595,6,121
1474299605,8,60
1474299615,4,64
1474299625,5,66
1474299635,5,82
#Long loop: REC=1
1474299645,3,37
1474299655,2,17
1474299665,11,142
1474299675,7,72
1474299685,11,129
1474299695,5,55
1474299705,10,99
1474299715,7,66
1474299725,5,105
1474299735,6,104
1474299745,9,99
1474299755,4,118
1474299765,5,54
1474299775,3,44
1474299785,7,49
1474299795,4,59
1474299805,7,153
1474299816,7,51
1474299826,3,60
1474299836,3,36
1474299846,4,25
1474299856,5,47
1474299866,8,262
1474299876,6,120
1474299886,3,112
1474299896,5,63
1474299906,6,153
1474299916,5,48
1474299926,5,49
1474299936,6,69
1474299946,2,58
1474299956,6,100
1474299966,7,93
1474299976,3,57
1474299986,4,25
1474299996,8,158
1474300006,8,142
1474300016,3,87
1474300026,4,24
1474300036,3,55
1474300046,6,57
1474300056,6,77
1474300066,8,89
1474300076,9,72
1474300086,9,143
1474300096,5,120
1474300106,7,74
1474300116,5,111
1474300126,2,26
1474300136,3,21
1474300146,10,141
1474300156,4,41
1474300166,6,98
1474300176,4,27
1474300186,4,37
1474300196,6,58
1474300206,5,43
1474300216,6,45
1474300226,11,167
1474300236,5,76
1474300246,6,42
1474300256,7,94
1474300266,5,42
1474300276,6,75
1474300286,6,229
1474300296,3,28
1474300306,3,28
1474300316,10,110
1474300326,6,99
1474300336,3,78
1474300346,2,27
1474300356,7,122
1474300366,5,71
1474300376,10,159
1474300386,6,203
1474300396,6,137
1474300406,5,75
1474300416,5,39
1474300426,7,94
1474300436,10,166
1474300446,10,237
1474300456,3,48
1474300466,6,45
1474300476,4,37
1474300486,4,33
1474300496,4,50
1474300506,5,47
1474300516,3,23
1474300526,6,57
1474300536,3,87
1474300546,5,48
1474300556,8,92
1474300566,7,104
1474300576,4,35
1474300586,9,80
1474300596,5,87
1474300606,5,41
1474300616,6,101
1474300626,4,36
1474300636,3,31
1474300646,5,45
1474300656,3,39
1474300666,10,182
1474300676,5,116
1474300686,6,83
1474300696,2,26
1474300706,2,19
1474300716,8,76
1474300726,5,67
1474300736,5,53
1474300746,4,43
1474300756,15,161
1474300766,6,88
1474300776,7,90
1474300786,9,119
1474300796,4,182
1474300806,4,74
1474300816,3,27
1474300826,7,74
1474300836,6,75
1474300847,6,60
1474300857,7,81
1474300867,3,69
1474300877,5,49
1474300887,3,56
1474300897,2,20
1474300907,4,25
1474300917,4,45
1474300927,6,60
1474300937,2,29
1474300947,6,45
1474300957,6,91
1474300967,3,55
1474300977,6,104
1474300987,4,59
1474300997,4,26
1474301007,10,138
1474301017,4,50
1474301027,6,153
1474301037,7,84
1474301047,4,126
1474301057,6,72
1474301067,7,117
1474301077,6,42
1474301087,9,174
1474301097,2,51
1474301107,3,26
1474301117,1,21
1474301127,5,35
1474301137,6,65
#Long loop: REC=1
1474301147,10,107
1474301157,3,29
1474301167,12,171
1474301177,4,56
1474301187,4,37
1474301197,3,25
1474301207,5,127
1474301217,4,25
1474301227,11,221
1474301237,10,122
1474301247,7,102
1474301257,7,47
1474301267,5,87
1474301277,6,60
1474301287,5,46
1474301297,4,75
1474301307,5,34
1474301317,7,177
1474301327,7,80
1474301337,5,59
1474301347,6,49
1474301357,3,27
1474301367,8,81
1474301377,6,94
1474301387,5,55
1474301397,4,38
1474301407,6,52
1474301417,9,156
1474301427,4,100
1474301437,6,80
1474301447,4,34
1474301457,3,43
1474301467,3,21
1474301477,5,39
1474301487,4,34
1474301497,9,159
1474301507,8,164
1474301517,4,99
1474301527,4,31
1474301537,9,87
1474301547,6,57
1474301557,6,67
1474301567,8,128
1474301577,3,33
1474301587,1,16
1474301597,5,33
1474301607,7,61
1474301617,6,60
1474301627,7,74
1474301637,9,93
1474301647,4,62
1474301657,4,43
1474301667,5,39
1474301677,8,108
1474301687,6,100
1474301697,8,204
1474301707,5,76
1474301717,3,28
1474301727,4,31
1474301737,3,22
1474301747,2,26
1474301757,6,83
1474301767,3,23
1474301777,7,98
1474301787,3,49
1474301797,8,82
1474301807,11,171
1474301817,5,54
1474301827,6,64
1474301837,5,62
1474301847,7,62
1474301857,6,131
1474301867,5,43
1474301877,6,53
1474301887,7,92
1474301897,4,37
1474301907,4,41
1474301918,8,143
1474301928,3,32
1474301938,0,0
1474301948,3,14
1474301958,3,22
1474301968,7,197
1474301978,3,31
1474301988,4,32
1474301998,7,113
1474302008,6,115
1474302018,5,77
1474302028,4,25
1474302038,6,99
1474302048,7,52
1474302058,5,76
1474302068,3,28
1474302078,2,17
1474302088,5,55
1474302098,8,217
1474302108,3,36
1474302118,6,41
1474302128,3,99
1474302138,8,55
1474302148,4,74
1474302158,7,51
1474302168,7,88
1474302178,6,137
1474302188,3,31
1474302198,6,69
1474302208,6,73
1474302218,6,78
1474302228,7,75
1474302238,5,91
1474302248,6,52
1474302258,6,101
1474302268,3,26
1474302278,3,37
1474302288,8,155
1474302298,4,43
1474302308,5,74
1474302318,9,99
1474302328,5,62
1474302338,5,120
1474302348,4,37
1474302358,9,189
1474302368,8,134
1474302378,9,151
1474302388,8,221
1474302398,4,71
1474302408,6,56
1474302418,7,198
1474302428,3,28
1474302438,3,34
1474302448,8,82
1474302458,3,60
1474302468,7,54
1474302478,4,51
1474302488,3,34
1474302498,7,86
1474302508,3,28
1474302518,5,42
1474302528,5,40
1474302538,4,43
1474302548,3,26
1474302558,4,29
1474302568,5,42
1474302578,4,81
1474302588,4,46
1474302598,3,26
1474302608,5,42
1474302618,6,50
1474302628,5,37
1474302638,5,73
#Long loop: REC=1
1474302648,6,56
1474302658,4,32
1474302668,5,59
1474302678,7,64
1474302688,6,80
1474302698,6,58
1474302708,2,31
1474302718,7,58
1474302728,3,30
1474302738,9,86
1474302748,2,53
1474302758,7,56
1474302768,5,60
1474302778,5,39
1474302788,11,146
1474302798,5,105
1474302808,11,146
1474302818,8,75
1474302828,9,334
1474302838,4,73
1474302848,4,38
1474302858,5,51
1474302868,6,101
1474302878,1,63
1474302888,8,112
1474302898,4,45
1474302908,3,38
1474302918,6,61
1474302928,2,44
1474302938,5,71
1474302948,6,54
1474302958,6,70
1474302968,6,52
1474302978,6,58
1474302989,9,102
1474302999,6,83
1474303009,5,56
1474303019,4,30
1474303029,6,113
1474303039,10,106
1474303049,4,50
1474303059,7,72
1474303069,5,116
1474303079,5,41
1474303089,2,53
1474303099,7,150
1474303109,2,22
1474303119,8,58
1474303129,6,60
1474303139,5,80
1474303149,7,132
1474303159,10,87
1474303169,7,93
1474303179,7,118
1474303189,4,47
1474303199,6,40
1474303209,6,68
1474303219,5,61
1474303229,6,135
1474303239,5,62
1474303249,6,171
1474303259,8,80
1474303269,13,145
1474303279,3,46
1474303289,4,28
1474303299,4,37
1474303309,5,37
1474303319,11,132
1474303329,8,95
1474303339,7,83
1474303349,6,59
1474303359,5,60
1474303369,8,119
1474303379,6,79
1474303389,2,63
1474303399,5,36
1474303409,4,99
1474303419,6,49
1474303429,4,38
1474303439,5,55
1474303449,2,34
1474303459,5,33
1474303469,7,74
1474303479,6,58
1474303489,8,108
1474303499,5,44
1474303509,14,236
1474303519,6,113
1474303529,5,83
1474303539,4,37
1474303549,4,32
1474303559,5,68
1474303569,7,98
1474303579,4,34
1474303589,3,29
1474303599,4,38
1474303609,3,24
1474303619,8,141
1474303629,8,178
1474303639,7,91
1474303649,5,75
1474303659,6,53
1474303669,10,91
1474303679,7,231
1474303689,6,50
1474303699,6,54
1474303709,6,79
1474303719,4,35
1474303729,7,95
1474303739,6,82
1474303749,5,44
1474303759,4,36
1474303769,5,55
1474303779,4,32
1474303789,2,33
1474303799,4,41
1474303809,4,29
1474303819,4,76
1474303829,5,55
1474303839,7,78
1474303849,6,130
1474303859,7,89
1474303869,7,94
1474303879,4,78
1474303889,8,83
1474303899,5,63
1474303909,9,130
1474303919,9,110
1474303929,4,47
1474303939,2,36
1474303949,5,50
1474303959,8,239
1474303969,6,65
1474303979,6,57
1474303989,3,48
1474303999,7,57
1474304009,5,60
1474304019,5,51
1474304029,5,69
1474304040,10,125
1474304050,9,376
1474304060,7,50
1474304070,9,96
1474304080,10,130
1474304090,5,115
1474304100,2,25
1474304110,4,36
1474304120,1,18
1474304130,7,70
1474304140,6,61
#Long loop: REC=1
1474304150,6,100
1474304160,7,108
1474304170,6,64
1474304180,8,74
1474304190,5,54
1474304200,6,59
1474304210,7,95
1474304220,3,34
1474304230,4,33
1474304240,5,38
1474304250,6,138
1474304260,4,50
1474304270,7,65
1474304280,2,69
1474304290,4,23
1474304300,3,72
1474304310,3,28
1474304320,8,115
1474304330,3,53
1474304340,6,36
1474304350,8,98
1474304360,7,179
1474304370,4,35
1474304380,8,89
1474304390,8,63
1474304400,3,110
1474304410,7,88
1474304420,6,62
1474304430,3,47
1474304440,4,28
1474304450,7,100
1474304460,9,159
1474304470,2,22
1474304480,5,69
1474304490,6,49
1474304500,5,54
1474304510,6,75
1474304520,3,60
1474304530,11,147
1474304540,8,97
1474304550,5,78
1474304560,5,48
1474304570,6,298
1474304580,3,54
1474304590,7,61
1474304600,3,45
1474304610,3,28
1474304620,4,41
1474304630,3,30
1474304640,5,43
1474304650,11,117
1474304660,6,71
1474304670,7,73
1474304680,8,73
1474304690,8,75
1474304700,4,94
1474304710,5,72
1474304720,4,30
1474304730,1,26
1474304740,8,88
1474304750,5,52
1474304760,7,56
1474304770,5,58
1474304780,7,75
1474304790,10,103
1474304800,5,107
1474304810,5,55
1474304820,3,28
1474304830,4,37
1474304840,3,35
1474304850,5,43
1474304860,7,58
1474304870,3,60
1474304880,4,29
1474304890,7,84
1474304900,2,48
1474304910,6,40
1474304920,7,158
1474304930,6,94
1474304940,6,123
1474304950,3,30
1474304960,7,171
1474304970,5,98
1474304980,5,118
1474304990,2,34
1474305000,1,12
1474305010,4,32
1474305020,9,83
1474305030,1,95
1474305040,3,19
1474305050,4,50
1474305060,5,39
1474305070,3,36
1474305080,3,32
1474305090,6,106
1474305101,6,45
1474305111,3,29
1474305121,5,42
1474305131,7,80
1474305141,8,139
1474305151,3,81
1474305161,3,23
1474305171,1,20
1474305181,4,17
1474305191,1,23
1474305201,7,158
1474305211,4,34
1474305221,4,37
1474305231,2,32
1474305241,4,24
1474305251,4,45
1474305261,4,30
1474305271,3,24
1474305281,6,47
1474305291,0,0
1474305301,2,16
1474305311,2,16
1474305321,7,63
1474305331,5,67
1474305341,3,84
1474305351,7,54
1474305361,5,87
1474305371,7,56
1474305381,6,56
1474305391,3,35
1474305401,5,57
1474305411,8,223
1474305421,6,69
1474305431,7,66
1474305441,5,103
1474305451,8,109
1474305461,3,189
1474305471,2,18
1474305481,9,79
1474305491,3,100
1474305501,6,74
1474305511,8,77
1474305521,8,68
1474305531,6,60
1474305541,3,33
1474305551,4,47
1474305561,7,54
1474305571,7,261
1474305581,6,80
1474305591,5,49
1474305601,7,86
1474305611,3,35
1474305621,9,110
1474305631,6,77
1474305641,9,85
#Long loop: REC=1
1474305651,6,83
1474305661,5,42
1474305671,7,63
1474305681,6,95
1474305691,5,53
1474305701,7,79
1474305711,6,63
1474305721,4,42
1474305731,7,143
1474305741,5,37
1474305751,2,43
1474305761,1,17
1474305771,8,88
1474305781,8,115
1474305791,4,39
1474305801,7,51
1474305811,4,95
1474305821,5,37
1474305831,7,313
1474305841,6,54
1474305851,5,52
1474305861,8,98
1474305871,4,36
1474305881,4,60
1474305891,4,40
1474305901,5,148
1474305911,8,149
1474305921,4,50
1474305931,6,46
1474305941,2,33
1474305951,7,92
1474305961,11,290
1474305971,2,60
1474305981,5,34
1474305991,5,48
1474306001,6,95
1474306011,3,81
1474306021,4,36
1474306031,5,35
1474306041,6,62
1474306051,5,46
1474306061,3,39
1474306071,4,28
1474306081,6,45
1474306091,7,187
1474306101,5,56
1474306111,7,265
1474306121,9,187
1474306131,4,159
1474306141,6,65
1474306151,6,60
1474306162,4,37
1474306172,4,30
1474306182,5,48
1474306192,5,58
1474306202,5,90
1474306212,6,151
1474306222,6,96
1474306232,4,31
1474306242,5,60
1474306252,7,80
1474306262,3,42
1474306272,7,83
1474306282,2,40
1474306292,7,66
1474306302,10,133
1474306312,10,178
1474306322,3,37
1474306332,3,33
1474306342,3,25
1474306352,7,45
1474306362,5,50
1474306372,6,87
1474306382,8,97
1474306392,3,59
1474306402,1,27
1474306412,4,23
1474306422,7,184
1474306432,4,42
1474306442,6,44
1474306452,3,42
1474306462,7,74
1474306472,8,77
1474306482,4,64
1474306492,3,22
1474306502,5,59
1474306512,5,52
1474306522,6,74
1474306532,5,38
1474306542,7,182
1474306552,4,35
1474306562,4,39
1474306572,6,91
1474306582,8,67
1474306592,7,98
1474306602,3,34
1474306612,3,25
1474306622,6,58
1474306632,4,34
1474306642,3,40
1474306652,6,147
1474306662,5,37
1474306672,1,28
1474306682,5,31
1474306692,3,42
1474306702,6,72
1474306712,11,192
1474306722,7,100
1474306732,4,65
1474306742,6,52
1474306752,5,68
1474306762,9,121
1474306772,5,88
1474306782,6,69
1474306792,7,83
1474306802,11,134
1474306812,4,101
1474306822,4,27
1474306832,5,38
1474306842,7,102
1474306852,7,73
1474306862,7,107
1474306872,7,68
1474306882,9,198
1474306892,5,46
1474306902,9,166
1474306912,5,83
1474306922,8,216
1474306932,5,68
1474306942,3,30
1474306952,6,50
1474306962,10,135
1474306972,8,109
1474306982,3,60
1474306992,5,42
1474307002,1,20
1474307012,5,38
1474307022,8,80
1474307032,6,76
1474307042,3,82
1474307052,5,39
1474307062,3,33
1474307072,7,119
1474307082,8,77
1474307092,9,177
1474307102,2,34
1474307112,10,196
1474307122,6,75
1474307132,4,52
1474307142,4,31
#Long loop: REC=1
1474307152,8,87
1474307162,8,120
1474307172,6,80
1474307182,3,31
1474307192,3,55
1474307202,2,21
1474307213,8,111
1474307223,9,146
1474307233,14,285
1474307243,3,88
1474307253,6,61
1474307263,6,95
1474307273,9,78
1474307283,6,186
1474307293,6,70
1474307303,6,62
1474307313,1,24
1474307323,6,60
1474307333,6,257
1474307343,4,72
1474307353,1,30
1474307363,5,64
1474307373,1,19
1474307383,7,57
1474307393,5,67
1474307403,8,138
1474307413,5,63
1474307423,10,244
1474307433,7,87
1474307443,5,135
1474307453,8,73
1474307463,5,76
1474307473,9,115
1474307483,8,105
1474307493,3,199
1474307503,4,33
1474307513,5,62
1474307523,4,25
1474307533,4,32
1474307543,6,65
1474307553,6,160
1474307563,4,108
1474307573,5,77
1474307583,7,103
1474307593,5,50
1474307603,6,57
1474307613,4,42
1474307623,3,41
1474307633,6,106
1474307643,5,80
1474307653,3,34
1474307663,8,187
1474307673,5,45
1474307683,5,52
1474307693,3,61
1474307703,2,18
1474307713,7,262
1474307723,7,68
1474307733,6,84
1474307743,1,36
1474307753,5,54
1474307763,10,115
1474307773,5,75
1474307783,1,19
1474307793,4,27
1474307803,3,41
1474307813,7,50
1474307823,6,65
1474307833,5,73
1474307843,4,38
1474307853,1,31
1474307863,4,18
1474307873,7,97
1474307883,7,116
1474307893,7,57
1474307903,6,55
1474307913,2,50
1474307923,5,36
1474307933,7,76
1474307943,6,63
1474307953,6,183
1474307963,6,93
1474307973,7,173
1474307983,7,161
1474307993,6,68
1474308003,6,92
1474308013,7,58
1474308023,4,65
1474308033,5,36
1474308043,8,80
1474308053,5,145
1474308063,6,45
1474308073,8,131
1474308083,11,409
1474308093,4,34
1474308103,3,39
1474308113,4,22
1474308123,2,40
1474308133,9,288
1474308143,3,42
1474308153,6,60
1474308163,6,53
1474308173,6,77
1474308183,9,73
1474308193,5,96
1474308203,5,39
1474308213,3,57
1474308223,6,68
1474308233,7,138
1474308243,5,61
1474308253,7,179
1474308264,4,46
1474308274,3,28
1474308284,7,67
1474308294,7,54
1474308304,6,124
1474308314,8,167
1474308324,12,147
1474308334,3,47
1474308344,3,25
1474308354,5,33
1474308364,7,88
1474308374,3,34
1474308384,10,428
1474308394,3,30
1474308404,7,88
1474308414,5,54
1474308424,4,45
1474308434,4,23
1474308444,4,84
1474308454,5,34
1474308464,6,99
1474308474,3,37
1474308484,6,70
1474308494,5,48
1474308504,6,68
1474308514,5,47
1474308524,2,45
1474308534,6,67
1474308544,9,141
1474308554,10,109
1474308564,7,75
1474308574,5,75
1474308584,5,56
1474308594,9,387
1474308604,1,56
1474308614,5,45
1474308624,4,29
1474308634,5,55
1474308644,1,17
#Long loop: REC=1
1474308654,5,55
1474308664,2,35
1474308674,7,117
1474308684,6,77
1474308694,7,86
1474308704,4,38
1474308714,6,67
1474308724,6,46
1474308734,8,127
1474308744,8,82
1474308754,6,68
1474308764,7,92
1474308774,5,47
1474308784,7,113
1474308794,5,44
1474308804,4,39
1474308814,5,53
1474308824,4,39
1474308834,5,60
1474308844,5,43
1474308854,3,26
1474308864,4,40
1474308874,2,36
1474308884,3,26
1474308894,2,19
1474308904,4,22
1474308914,2,29
1474308924,7,40
1474308934,7,106
1474308944,3,30
1474308954,4,34
1474308964,5,40
1474308974,6,76
1474308984,4,68
1474308994,9,137
1474309004,6,51
1474309014,2,36
1474309024,4,23
1474309034,7,98
1474309044,3,48
1474309054,7,111
1474309064,6,59
1474309074,6,94
1474309084,11,188
1474309094,3,182
1474309104,4,23
1474309114,7,88
1474309124,9,533
1474309134,7,134
1474309144,9,146
1474309154,5,81
1474309164,3,46
1474309174,8,144
1474309184,7,76
1474309194,5,40
1474309204,7,245
1474309214,7,81
1474309224,5,41
1474309234,3,38
1474309244,7,249
1474309254,7,66
1474309264,7,81
1474309274,1,26
1474309285,9,200
1474309295,4,41
1474309305,6,132
1474309315,4,60
1474309325,6,97
1474309335,10,90
1474309345,1,41
1474309355,4,21
1474309365,9,119
1474309375,8,196
1474309385,5,86
1474309395,8,129
1474309405,3,58
1474309415,3,28
1474309425,7,84
1474309435,3,27
1474309445,7,55
1474309455,4,27
1474309465,10,121
1474309475,5,72
1474309485,7,107
1474309495,3,36
1474309505,6,51
1474309515,6,70
1474309525,8,137
1474309535,4,36
1474309545,4,30
1474309555,4,75
1474309565,10,349
