#PROG: Sep 19 2016, 10:15:58
#RTC: 2016/9/19-10:15:27,
#StatsDelayMs=10000,EdiskDelayMs=1500000,NClickTimes=5,LedsThresh=[30,70,150,350,800,]
#StatsETA=4146,EdiskETA=1494146,isRec=1,clicks=0,maxCPM=0,EDISK_nextIx=301,
#  clickTimes=[5854,5854,5854,5854,5854,]
clicks,maxCPM
1474283460,4,40
1474283470,9,85
1474283480,11,241
1474283490,2,78
1474283500,9,231
1474283510,9,125
1474283520,7,113
1474283530,4,29
1474283540,3,34
1474283550,4,26
1474283560,6,64
1474283570,5,57
1474283580,7,67
1474283590,13,202
1474283600,2,47
1474283610,11,118
1474283620,9,119
1474283630,3,56
1474283640,6,71
1474283650,4,44
1474283660,7,131
1474283670,5,63
1474283680,3,98
1474283690,6,86
1474283700,10,185
1474283710,8,88
1474283720,7,91
1474283730,8,73
1474283740,3,44
1474283750,4,32
1474283760,5,35
1474283770,10,206
1474283780,9,182
1474283790,7,90
1474283800,7,74
1474283810,7,119
1474283820,2,32
1474283830,7,99
1474283840,15,294
1474283850,7,265
1474283860,7,58
1474283870,1,20
1474283880,4,29
1474283890,14,441
1474283900,7,87
1474283910,3,34
1474283920,3,25
1474283930,3,27
1474283940,13,178
1474283951,6,103
1474283961,7,149
1474283971,2,43
1474283981,7,64
1474283991,10,149
1474284001,5,52
1474284011,5,47
1474284021,2,31
1474284031,3,20
1474284041,3,29
1474284051,6,51
1474284061,8,119
1474284071,8,100
1474284081,13,172
1474284091,6,72
1474284101,1,30
1474284111,6,50
1474284121,5,69
1474284131,2,28
1474284141,5,55
1474284151,8,133
1474284161,5,95
1474284171,9,392
1474284181,11,130
1474284191,5,76
1474284201,9,229
1474284211,3,77
1474284221,6,47
1474284231,6,71
1474284241,7,257
1474284251,6,144
1474284261,4,22
1474284271,6,89
1474284281,10,108
1474284291,6,90
1474284301,5,60
1474284311,7,93
1474284321,10,159
1474284331,5,82
1474284341,8,88
1474284351,3,55
1474284361,4,32
1474284371,9,85
1474284381,6,59
1474284391,7,94
1474284401,8,74
1474284411,7,181
1474284421,6,54
1474284431,9,78
1474284441,11,361
1474284451,3,56
1474284461,4,29
1474284471,10,106
1474284481,7,89
1474284491,13,237
1474284501,4,172
1474284511,8,335
1474284521,11,145
1474284531,6,121
1474284541,3,37
1474284551,5,45
1474284561,4,41
1474284571,5,85
1474284581,3,53
1474284591,8,84
1474284601,6,103
1474284611,4,55
1474284621,9,133
#Long loop: REC=1
1474284631,6,97
1474284641,4,53
1474284651,3,22
1474284661,1,16
1474284671,7,57
1474284681,5,106
1474284691,7,144
1474284701,6,56
1474284711,6,54
1474284721,8,144
1474284731,8,91
1474284741,15,795
1474284751,6,149
1474284761,3,68
1474284771,9,125
1474284781,11,155
1474284791,5,81
1474284801,9,96
1474284811,8,70
1474284821,8,110
1474284831,4,41
1474284841,9,99
1474284851,7,107
1474284861,9,106
1474284871,10,423
1474284881,8,113
1474284891,3,43
1474284901,5,51
1474284911,3,65
1474284921,7,67
1474284931,7,105
1474284941,6,48
1474284951,0,0
1474284961,5,31
1474284971,4,37
1474284982,9,104
1474284992,6,53
1474285002,6,69
1474285012,6,88
1474285022,7,81
1474285032,2,35
1474285042,6,62
1474285052,4,40
1474285062,8,115
1474285072,8,81
1474285082,6,72
1474285092,3,61
