Sep 10, 2016 19:53:25
PROG: Sep 10 2016, 19:10:41
CLICKS, MaxCPM5
3,87.1840
5,48.0769
6,91.4077
7,75.1880
6,64.8228
4,38.7597
9,152.3616
6,88.8362
3,20.0240
6,81.1908
8,346.4203
4,50.3187
6,63.6402
4,45.6691
10,100.2004
2,58.9623
4,25.5015
0,0.0000
8,109.8901
7,193.2990
3,43.5350
5,46.7217
2,62.2019
8,71.8391
2,31.7225
9,103.9141
3,95.1777
1,26.1826
3,13.8198
5,33.8600
3,34.4471
5,52.1014
6,68.5244
3,29.6501
8,76.8246
4,32.7618
5,61.2620
5,37.1885
5,53.9762
5,36.2538
3,53.0223
4,24.8201
5,40.5022
5,47.0441
5,50.5136
1,19.4389
4,31.9421
10,161.2903
4,90.0630
2,32.3625
8,106.0445
10,170.9402
2,62.5130
3,23.9981
4,26.2904
6,59.1483
4,30.6529
5,46.6273
6,68.6499
6,62.6305
6,55.4426
5,65.7751
4,58.6510
2,31.2370
5,185.6436
5,45.1739
6,96.7430
6,118.0638
2,26.1689
8,141.1765
8,67.7660
2,25.5428
5,53.4093
3,43.5983
9,99.7009
3,26.9978
4,38.7397
8,91.5192
8,67.3250
4,108.7350
4,52.1467
1,26.0575
3,16.3908
6,33.6549
4,83.8692
6,60.9756
4,37.5516
2,23.6518
5,50.0751
6,92.4499
7,81.1688
6,191.6933
2,36.0187
8,113.2076
6,67.4006
8,78.3290
6,76.1615
7,282.2201
5,70.0935
4,33.0360
3,43.5540
3,28.3742
2,15.8487
7,57.9822
5,134.9528
1,22.5479
2,13.1775
4,23.7548
6,51.6974
7,95.0570
6,65.5738
5,45.6066
2,45.4614
5,45.9488
5,83.2871
5,76.3553
2,39.3443
6,43.9560
3,48.1464
4,30.0722
5,54.0443
2,39.1185
4,24.9107
2,38.8802
7,58.9623
4,65.5451
3,43.9883
5,33.5646
6,142.2475
1,18.8917
7,54.2201
6,74.2758
4,57.5264
3,35.0099
5,61.0252
2,25.4108
2,23.3608
7,49.9833
7,201.7485
3,139.8601
4,27.0612
5,58.8813
4,73.2601
1,17.9791
4,29.2455
3,35.4108
6,141.3095
3,30.4661
9,131.5789
4,40.0107
3,32.2650
5,39.0320
5,71.5478
7,161.8123
7,106.5341
13,252.5252
3,34.1919
5,66.7854
4,31.9353
2,21.0069
7,898.2036
4,26.5557
3,30.3890
4,32.7547
7,125.3656
3,123.1022
8,111.4413
9,128.4246
6,101.2487
4,84.6979
8,155.9252
4,39.1696
2,22.7480
2,20.4096
8,227.2727
4,35.8423
1,19.2111
7,87.9250
7,73.0638
2,29.3169
4,25.2164
1,27.0734
3,18.7617
6,36.4431
4,66.5188
7,81.3890
8,277.0083
8,69.9301
6,68.1508
7,71.5649
5,76.0456
4,28.3126
1,32.7189
4,24.4898
5,35.9152
11,205.6203
7,68.5244
6,51.0986
11,136.7366
7,89.9281
7,72.6392
5,42.5050
4,89.6861
4,31.0913
4,32.7475
4,53.1256
2,21.3965
8,87.6168
2,67.9656
4,31.4630
4,34.3643
6,51.7509
6,58.9855
2,42.4568
5,49.6278
5,44.0788
4,37.9219
4,37.9075
3,20.0294
4,90.0360
3,28.1241
4,33.9520
5,53.5906
5,43.2339
7,83.4492
9,101.3856
6,64.6552
5,60.8643
7,84.2460
6,136.7989
3,40.5077
8,160.7717
5,50.7786
5,108.8929
10,108.4991
5,128.1504
5,38.3338
3,44.3131
3,19.9005
5,57.8146
4,57.2410
7,57.8369
3,54.1419
8,103.6986
5,60.0120
7,94.5477
4,113.0795
7,225.3944
4,95.6938
6,58.8813
4,40.5405
4,37.2856
7,55.4836
3,67.6285
2,28.4765
5,38.3191
5,61.1621
6,120.9677
6,76.5501
1,67.5676
2,15.8261
8,93.8673
8,68.5244
6,91.7151
2,27.1420
2,14.8920
10,83.1947
5,51.1596
9,77.5394
8,127.3885
4,31.0559
5,44.7628
1,25.4799
4,26.5041
8,81.2128
4,50.9944
6,57.4823
8,172.4138
7,139.5349
5,46.3679
8,94.0144
4,49.2287
6,46.0123
10,321.5434
5,45.8295
2,44.4708
3,23.7906
5,35.0426
7,66.8598
8,135.5014
4,64.2674
7,151.0574
5,92.3077
5,38.0517
9,84.5547
6,55.9284
5,83.6120
5,118.2033
10,612.2449
3,30.6216
5,46.0971
7,97.7517
4,43.4846
5,46.0971
3,35.4862
6,84.4357
4,29.9970
4,36.3240
5,51.7688
4,37.7311
6,54.3774
8,214.5923
10,143.0615
5,98.7817
8,97.6563
4,49.8919
8,538.5997
4,44.5170
1,23.9044
6,50.8820
3,32.5804
6,49.3908
2,137.0489
5,38.2995
3,43.0293
5,44.4642
2,34.9773
8,96.1230
4,38.7447
6,52.1830
5,70.5384
5,32.0787
2,44.4247
4,28.5714
6,59.2300
1,21.3569
6,73.9827
7,61.0874
6,78.5752
6,106.1947
3,38.1485
3,20.3431
7,94.0439
11,275.9890
2,26.7427
7,77.3395
4,47.9310
9,238.8535
10,101.0782
10,189.5136
10,284.6300
4,90.4159
6,60.3622
4,33.8715
2,52.9007
3,21.9202
6,49.2287
4,42.3908
4,44.2152
4,25.3421
0,0.0000
6,85.4944
7,148.3679
5,41.0734
5,40.5241
3,63.1048
5,37.4485
7,74.5527
8,128.2051
3,59.9042
6,55.2486
4,46.3822
