CLICKS, MaxCPM7
0,0.0000
2,203.3111
3,54.4450
7,92.8382
8,205.7008
3,67.2624
5,60.3500
9,140.4213
6,191.6758
2,63.2225
2,33.9197
3,27.3662
4,58.1927
6,97.4116
2,73.6765
7,93.2339
7,111.1994
2,73.5603
4,44.3038
7,95.3029
10,147.3064
8,109.5633
5,114.5475
2,55.5953
1,28.8256
10,220.9596
6,80.7754
2,70.5432
7,86.0057
6,65.9134
6,72.2767
5,95.7461
6,84.1043
5,76.9908
10,171.1491
6,107.0828
4,48.7907
5,108.1917
4,44.0473
6,78.5282
2,101.4346
4,52.2115
5,51.2633
8,144.0033
7,91.1933
4,60.5536
11,196.8504
1,54.2636
2,44.5463
3,29.9465
5,69.1017
7,77.2286
7,205.1583
5,52.8063
4,101.9665
8,88.2613
6,115.3783
4,66.5336
5,92.1053
4,62.0953
8,107.7586
6,105.2157
1,44.2282
3,28.6768
4,67.9678
6,78.6164
7,93.8212
5,78.7756
7,101.1268
5,65.1405
6,85.1582
4,101.4787
4,47.6288
6,66.1126
4,58.6854
7,119.7195
11,187.2659
2,121.6545
8,145.3488
2,60.0962
11,264.9508
3,191.8334
3,59.3522
6,55.4543
4,70.4864
5,60.3136
3,57.3160
5,48.8418
6,86.9349
5,81.4427
5,61.1140
7,148.7147
6,72.0609
4,153.9815
7,75.8561
5,75.0107
7,94.6714
5,83.1551
5,68.1133
3,51.9018
11,189.4965
6,98.7724
8,150.9597
3,83.7521
2,48.5942
2,28.0090
3,28.8066
2,44.1278
4,41.6691
3,57.4335
4,41.7163
5,77.3994
6,81.3481
7,84.2055
7,89.7436
11,168.5123
4,156.7749
4,52.8701
8,112.8486
6,89.0925
10,156.2500
5,189.9078
8,84.1852
6,107.1319
2,56.6939
5,48.1795
3,126.9726
2,45.7457
2,32.0161
4,29.9491
8,102.7900
7,96.5917
3,81.8331
3,42.5118
8,109.1873
4,90.6149
5,57.1009
7,142.3343
8,159.4896
5,65.6599
2,63.2797
6,72.7726
6,90.4860
5,102.8051
3,51.0241
8,129.4139
3,92.2509
4,56.8182
6,59.3120
4,79.7721
6,59.6354
5,154.7303
5,81.6231
3,58.4844
3,39.3745
7,410.3165
4,98.3837
3,41.5652
2,56.8505
6,80.1007
6,82.3723
7,130.8900
3,96.0483
7,94.3778
8,148.5254
8,89.3883
6,138.4220
6,106.3992
6,77.1775
1,38.9603
3,33.7284
3,36.8344
3,44.5661
7,75.8561
4,108.4095
11,144.6281
5,131.9759
9,199.8858
12,229.2076
8,148.9679
8,111.1464
6,164.5897
9,110.6370
4,81.3481
5,65.4695
5,68.0934
3,48.6449
7,85.4179
8,179.8561
7,129.0323
6,85.4597
5,68.8502
4,83.2342
2,35.8313
2,34.5901
10,166.3498
8,179.2115
3,72.4863
8,161.7002
4,147.3064
9,158.8382
2,79.8176
6,56.2114
5,70.2388
2,41.0943
2,41.5924
8,143.0031
4,89.5484
1,42.3191
10,117.3709
2,58.0335
6,60.3188
6,95.1734
4,86.0374
2,59.7984
4,32.1307
3,101.9220
8,115.0181
5,102.1600
6,75.4229
4,85.8790
9,107.7586
5,138.1488
5,82.1114
2,48.8349
6,61.2638
5,55.3535
6,89.1606
3,65.8700
3,46.0587
4,40.1445
5,108.9664
3,58.7199
9,215.0538
4,92.9121
10,154.0493
6,119.9246
5,62.7578
3,55.4192
4,48.9100
7,129.3900
4,69.5410
7,102.5641
11,172.0324
3,145.4999
5,72.1501
6,81.3008
5,76.1615
3,45.8505
7,118.5035
10,172.4563
5,73.8553
8,134.6413
8,122.6134
7,98.3837
9,140.2525
4,87.0430
11,227.1990
6,256.3164
13,241.4626
3,85.0960
5,54.1293
5,61.8484
4,55.8570
1,32.2328
4,39.4589
