CLICKS, MaxCPM5
1474496338,10,160
1474496348,5,72
1474496358,5,173
1474496368,5,46
1474496378,8,91
1474496388,3,30
1474496398,6,50
1474496408,4,35
1474496418,3,43
1474496428,3,31
1474496438,8,114
1474496448,6,63
1474496458,4,43
1474496468,10,138
1474496478,2,28
1474496488,2,21
1474496498,4,24
1474496508,3,30
1474496543,6,50
1474496553,6,48
1474496563,5,182
1474496573,7,130
1474496583,2,78
1474496593,1,21
1474496603,9,162
1474496613,7,171
1474496623,7,100
1474496633,7,129
1474496643,4,43
1474496653,2,30
1474496663,8,100
1474496673,4,47
1474496683,6,82
1474496693,6,56
1474496703,4,52
1474496713,3,32
1474496723,7,73
1474496733,6,45
1474496743,5,73
1474496753,7,117
1474496763,7,120
1474496773,4,41
1474496783,6,56
1474496793,5,47
1474496803,4,48
1474496813,3,32
1474496823,4,25
1474496833,4,36
1474496843,3,46
1474496853,3,29
1474496863,8,120
1474496873,5,130
1474496883,6,46
1474496894,5,68
1474496904,2,43
1474496914,4,18
1474496924,10,85
1474496934,2,22
1474496944,3,31
1474496954,5,64
1474496964,3,78
1474496974,7,186
1474496984,4,50
1474496994,5,39
1474497004,5,46
1474497014,4,34
1474497024,3,37
1474497034,7,94
1474497044,1,17
1474497054,3,16
1474497064,3,24
1474497074,5,37
1474497084,4,33
1474497094,6,63
1474497104,3,43
1474497114,4,39
1474497124,5,60
1474497134,6,53
1474497144,1,40
1474497154,5,60
1474497164,6,50
1474497174,8,242
1474497184,7,82
1474497194,3,48
1474497204,5,64
1474497214,4,33
1474497224,8,97
1474497234,4,51
1474497244,2,24
1474497254,4,38
1474497264,4,34
1474497274,4,31
1474497284,8,152
1474497294,4,40
1474497304,4,38
1474497314,7,81
1474497324,6,52
1474497334,7,141
1474497344,6,78
1474497354,4,46
1474497364,5,35
1474497374,7,84
1474497384,2,41
1474497394,6,62
1474497404,7,107
1474497414,10,86
1474497424,5,87
1474497434,4,31
1474497444,7,80
1474497454,6,49
1474497464,5,44
1474497474,4,35
1474497484,9,269
1474497494,4,36
1474497504,10,115
1474497514,5,109
1474497524,7,96
1474497534,4,58
1474497544,2,83
1474497554,4,19
1474497564,8,214
1474497574,5,124
1474497584,6,62
1474497594,6,54
1474497604,8,93
1474497614,3,34
1474497624,5,64
1474497634,7,47
1474497644,5,86
1474497654,4,54
1474497664,3,48
1474497674,4,38
1474497684,5,51
1474497694,4,28
1474497704,4,44
1474497714,6,49
1474497724,3,30
1474497734,8,88
1474497744,9,138
1474497754,6,92
1474497764,9,75
1474497774,6,135
1474497784,9,113
1474497794,11,270
1474497804,3,35
1474497814,3,29
1474497824,5,33
1474497834,4,41
1474497844,4,41
1474497854,6,62
1474497864,6,124
1474497874,4,32
1474497884,7,78
1474497894,4,96
1474497904,10,183
1474497914,1,51
1474497924,5,54
1474497934,5,55
1474497944,2,28
1474497955,5,90
1474497965,6,68
1474497975,1,19
1474497985,2,18
1474497995,2,15
1474498005,8,150
1474498015,8,68
1474498025,1,23
1474498035,9,192
1474498045,6,126
1474498055,6,92
1474498065,6,78
1474498075,5,101
1474498085,5,43
1474498095,4,30
1474498105,2,43
1474498115,8,147
1474498125,7,97
1474498135,7,122
1474498145,2,59
1474498155,2,19
1474498165,7,75
1474498175,4,47
1474498185,4,33
1474498195,7,141
1474498205,7,69
1474498215,5,93
1474498225,10,129
1474498235,7,106
1474498245,3,55
1474498255,4,24
1474498265,4,36
1474498275,3,27
1474498285,8,105
1474498295,5,48
1474498305,3,45
1474498315,5,54
1474498325,9,97
1474498335,5,44
1474498345,3,56
1474498355,6,49
1474498365,6,65
1474498375,6,46
1474498385,4,35
1474498395,2,42
1474498405,5,39
1474498415,2,23
1474498425,7,63
1474498435,5,59
1474498445,3,28
1474498455,6,85
1474498465,4,31
1474498475,4,37
1474498485,5,48
1474498495,6,70
1474498505,2,54
1474498515,4,18
1474498525,3,47
1474498535,6,322
1474498545,3,38
1474498555,4,16
1474498565,4,80
1474498575,5,63
1474498585,3,35
1474498595,3,24
1474498605,9,89
1474498615,6,106
1474498625,7,76
1474498635,4,37
1474498645,9,123
1474498655,4,58
1474498665,6,116
1474498675,5,70
1474498685,5,57
1474498695,10,163
1474498705,4,77
1474498715,5,50
1474498725,1,24
1474498735,4,19
