CLICKS, MaxCPM5
5,68.1044
4,31.9353
6,78.6164
8,113.8520
6,50.1505
5,98.2318
3,22.9779
5,58.7889
3,75.2257
8,69.5572
6,102.2495
5,56.0853
6,77.2201
7,64.5439
8,74.8130
6,119.0476
6,51.8583
4,46.6345
2,24.6589
7,72.7802
5,79.6813
8,100.1001
4,49.2611
6,132.9198
8,132.1586
7,67.7507
4,76.6675
4,30.1235
6,68.6028
4,65.1042
7,92.3077
6,87.5146
5,39.8301
9,79.8085
11,160.3421
6,78.3290
4,30.6937
7,68.3527
9,106.7236
7,118.4834
5,47.9846
3,33.5495
9,69.2042
5,48.1078
1,24.4300
7,94.7568
4,42.7960
2,28.1558
4,22.8311
6,68.0890
6,127.1186
5,118.6709
7,80.7320
6,59.5474
8,58.7544
6,121.1632
3,30.2145
3,31.8438
3,19.1192
7,58.1508
4,46.0123
6,46.4396
3,37.6932
7,55.4836
5,94.6671
5,40.8163
7,59.0435
3,48.8202
6,47.4458
6,77.7404
5,50.7185
2,32.5027
11,228.4844
1,33.6097
6,43.3965
4,31.1010
6,76.9626
3,31.3808
7,61.4376
2,46.7654
5,53.7634
9,180.6141
2,23.9425
6,98.0392
4,28.0112
6,154.0832
3,27.3873
7,159.8295
6,113.1648
4,27.7649
7,83.7521
4,41.9346
8,57.6812
2,87.4891
4,41.1184
5,89.3655
2,27.9903
1,14.9507
3,24.3902
6,53.8213
8,89.2857
5,80.9717
4,67.6590
11,141.6431
8,69.0290
7,168.9189
8,85.1064
5,93.8086
7,65.8039
8,143.5407
8,68.2594
4,124.1722
4,25.8042
5,135.5626
5,64.1849
3,37.8406
4,27.0003
2,42.1882
3,22.5564
12,209.6436
5,171.1352
5,43.8340
5,46.4396
4,33.8562
5,44.9236
2,41.1128
9,116.0991
6,75.1691
2,33.0433
2,17.6502
6,57.1973
4,52.0653
4,28.5714
3,45.7736
4,27.4826
6,38.9813
7,180.6141
1,32.0273
7,210.0840
7,235.6638
7,68.0272
8,128.5898
3,100.2339
6,66.2837
11,148.8834
8,131.5213
2,44.1241
3,18.1895
14,191.0828
7,83.7521
7,66.6963
12,132.3919
4,54.6847
2,40.7221
4,22.8033
7,104.8584
7,50.0668
7,94.9367
3,39.3185
3,30.1447
4,30.6310
3,33.5008
4,40.6064
5,64.5995
5,49.3178
4,35.9842
7,130.7189
6,189.0359
5,59.1133
3,28.2459
4,31.2142
7,50.5306
5,59.6777
4,30.3183
6,60.4108
11,289.8551
7,88.1316
7,78.1657
5,51.4403
4,31.9864
6,109.5690
5,45.8295
10,195.6947
9,211.1189
9,81.5217
7,72.1154
6,62.8141
8,87.8220
8,70.4225
4,63.1313
5,95.1777
8,115.0748
5,66.4011
5,59.1366
10,202.9770
10,180.5054
6,72.3066
6,97.9112
1,25.0815
5,54.9753
7,97.2132
5,62.8404
5,114.4601
7,55.1065
6,79.7236
7,101.6260
5,50.9597
4,29.6004
12,261.0966
7,125.6281
3,55.2995
8,141.1765
2,30.4476
8,84.1515
8,78.1250
4,59.1483
6,77.6197
5,145.5604
4,34.2114
4,38.1098
2,23.4650
6,211.8644
7,100.7049
3,79.0306
5,85.3728
3,52.8914
6,52.8169
9,88.6001
4,32.8012
2,45.9770
6,42.8204
5,54.6548
4,52.0924
6,52.6685
6,81.3670
4,43.2713
6,78.6164
6,56.3486
1,19.6425
4,27.1174
2,37.2902
2,13.7931
3,39.9361
3,27.3498
6,63.2244
5,45.9207
12,166.6667
1,117.1417
3,19.5707
6,119.0949
5,45.9348
5,55.6483
7,51.5641
8,124.1208
7,120.2887
7,73.6377
7,92.4499
6,54.8847
7,81.7216
5,52.0201
3,50.2176
7,146.9868
5,44.4313
8,211.4165
6,58.6969
12,123.5585
4,69.1244
4,32.2615
6,47.7403
6,62.1375
6,65.8039
5,91.6310
3,30.1629
5,47.1254
3,38.0759
7,57.0234
9,135.9927
9,505.9022
10,137.4256
7,110.7011
7,56.6145
8,348.8372
9,201.6129
4,45.2352
7,91.9118
4,80.8407
5,57.1537
3,42.2357
4,27.4348
4,38.3387
11,139.2111
7,98.7492
6,111.3586
4,40.3009
4,42.5894
0,0.0000
5,46.0759
3,35.1247
5,39.7404
3,24.2131
6,217.7068
9,179.5332
8,110.4566
5,54.6946
2,33.9175
8,99.6347
7,86.9061
5,45.9911
4,42.6985
7,65.4736
9,152.2843
7,92.4784
2,28.1320
8,74.5527
6,86.7303
8,171.3307
6,134.8315
6,58.1170
5,45.9067
4,65.6312
2,27.6370
7,95.2683
6,81.6994
1,31.5159
3,17.0222
8,112.0657
3,67.3099
6,63.5459
4,29.4291
4,61.3748
3,29.6062
6,154.6392
7,98.4575
6,52.9474
5,46.2321
7,86.1079
3,37.0416
1,15.5023
3,17.1233
2,17.3621
5,51.6618
4,42.7655
9,85.6898
3,76.4526
5,46.8604
4,58.6052
5,79.5756
6,147.8561
6,68.6656
4,40.1123
7,132.8021
5,64.7808
4,53.3523
4,31.4861
6,117.4628
6,46.1609
7,88.4173
4,34.0097
4,40.3986
2,29.0276
6,52.5394
5,36.2582
6,54.7445
4,79.4071
3,27.4148
8,209.7902
5,98.9120
5,38.9055
4,35.5872
1,19.9322
7,60.6673
5,59.2183
5,61.6650
4,34.1103
3,28.4468
5,109.0909
1,20.9629
2,16.3917
7,81.8107
4,74.2758
3,37.2024
1,22.9095
8,86.7554
2,54.5752
8,62.2924
6,131.0616
6,55.6483
4,34.5981
7,47.2292
6,71.6846
5,64.1986
7,54.6747
1,34.3407
7,67.5372
8,144.7876
2,31.1397
5,38.4123
5,58.5252
7,79.7872
7,57.4493
3,91.6590
2,30.3797
4,19.1363
6,195.0585
8,180.6141
3,48.7250
5,126.6892
7,173.1102
7,82.3045
4,49.2287
6,48.4340
5,53.7346
7,142.3825
7,92.1659
4,64.5439
5,45.2557
4,51.9391
4,33.6927
5,62.2407
4,38.4172
6,190.8397
11,193.4236
9,123.2033
4,84.4832
5,57.8481
5,32.9707
4,61.0004
7,69.3963
4,57.6480
3,36.8868
7,90.7441
6,64.5578
4,42.7046
8,93.6622
4,53.6769
4,27.7984
7,87.2600
6,50.2934
6,74.5527
4,28.4225
7,370.3704
6,62.6043
3,40.5625
7,51.2033
5,123.6604
2,32.6726
6,82.5310
5,33.6134
10,86.3807
7,142.3825
5,52.3560
1,27.8629
3,20.5804
4,32.4816
4,28.7742
3,31.5027
8,108.9325
5,48.5280
5,37.2578
4,43.5350
5,52.4109
1,31.0045
6,67.1441
10,186.4512
5,65.2600
11,150.1501
9,206.3274
11,210.0840
4,115.8301
4,33.8753
2,31.1948
5,35.3857
7,62.8009
3,29.9133
3,37.2671
10,103.9861
6,54.6647
6,70.9891
3,35.7483
5,33.9060
4,60.1443
4,29.6267
2,24.2463
8,100.1669
6,87.6424
5,42.5291
10,124.3266
6,131.0044
6,62.3441
5,79.9361
7,66.3864
8,105.0053
4,45.9770
9,111.8151
3,33.7648
3,27.6396
5,146.6276
8,96.7742
3,69.4605
8,121.4083
8,153.2959
4,48.2470
2,34.2622
6,119.8083
3,39.1850
7,117.7394
4,57.0451
7,190.8397
3,52.4567
3,28.2061
8,199.0710
2,25.9067
5,40.9556
3,59.3120
2,28.5687
5,59.8563
7,82.9417
6,74.6083
4,80.5585
4,26.6928
5,66.6371
4,36.8324
5,56.3380
8,106.9138
5,50.1002
8,69.8162
5,44.3459
4,43.1717
10,203.9429
5,56.8613
2,30.1872
5,64.2123
7,77.7605
5,56.2852
9,66.7408
6,84.9377
6,47.5285
9,74.8503
3,45.7736
2,21.5595
6,78.8436
6,45.5581
4,75.4527
7,85.9599
9,230.5919
10,124.0182
4,97.1817
6,51.6974
7,58.7659
7,99.6016
6,141.1101
6,213.6752
2,26.8745
5,84.6262
7,70.1754
9,281.1622
7,73.4934
4,56.5185
4,34.8109
5,35.9712
3,45.8225
5,43.6237
5,46.0052
7,142.9933
8,146.0565
4,29.7530
3,36.9959
6,35.8980
3,43.1903
5,39.1696
8,71.5990
5,44.6628
5,58.2298
2,53.1350
8,119.7605
7,135.9311
5,41.7014
3,37.1701
2,23.8701
3,18.5540
4,32.5627
7,100.2674
4,44.5500
5,43.8468
6,92.9944
6,60.0721
5,47.7175
5,78.1454
5,38.2166
5,42.7777
5,73.4394
5,46.2820
3,28.5198
6,55.3710
9,163.3987
4,96.9619
7,113.8952
6,79.1348
7,87.8735
7,89.6861
7,84.5785
1,44.6761
9,192.0615
5,79.1139
5,35.6252
7,73.3138
4,42.9923
7,94.2211
3,50.3102
1,21.9619
2,11.9646
3,30.7314
6,96.0307
3,36.6793
9,222.7171
8,112.5704
6,76.7263
5,70.2247
4,38.4074
4,28.6588
5,137.2370
2,43.4468
5,34.5781
4,30.8420
7,67.5676
4,90.2527
4,33.1345
7,69.4927
5,61.0252
3,41.3793
4,41.3565
5,36.1446
9,222.8826
4,35.3357
8,93.2836
5,78.0234
6,73.0105
7,239.2344
0,0.0000
1,20.1748
3,10.7108
6,115.4290
8,67.0092
3,82.1018
9,145.2081
4,93.7793
5,99.2064
0,0.0000
4,19.6348
3,29.1857
4,34.3840
4,48.0307
8,88.7837
3,41.8352
4,46.4828
5,42.0757
5,42.0227
5,64.5439
5,51.4227
8,180.6141
2,36.0317
5,146.9148
5,40.5734
5,42.7533
5,44.7561
4,40.3443
8,159.8295
5,75.3769
5,70.7881
6,45.3241
5,66.0066
5,56.2535
4,31.2630
5,70.9723
7,90.9918
10,622.4066
4,71.9597
4,25.2845
6,118.6709
2,64.1986
5,33.3037
7,150.5268
5,57.0342
3,34.9732
1,17.3933
3,13.8504
10,89.4988
3,72.0288
3,34.7504
4,21.8786
2,26.0078
3,20.1005
9,90.0630
7,288.7392
6,81.9001
5,53.6001
3,29.1574
4,36.9095
4,45.6413
6,63.7620
2,25.6213
2,23.5479
5,34.2427
5,45.3926
3,27.8577
6,51.2120
6,68.5088
8,87.6168
4,51.5021
5,72.9749
5,169.6833
5,73.7644
4,34.3014
5,44.1241
4,109.9304
9,119.5219
4,94.5477
1,16.1987
2,15.3665
1,9.3853
7,131.5213
9,129.2546
7,98.9772
6,81.2568
2,35.9066
5,168.8239
1,19.6799
8,79.8085
2,33.5121
5,55.5350
2,31.3578
7,79.0306
4,32.5592
6,65.9486
7,63.5190
8,179.8561
6,142.3150
6,113.2076
6,71.0564
6,55.0055
4,35.4946
7,58.6969
2,41.5973
4,33.8639
7,56.1798
5,70.2412
4,29.8894
5,37.6837
5,61.8047
6,74.0924
6,76.6871
6,76.9231
4,38.8551
6,82.4856
6,45.8575
5,42.3549
9,97.4976
1,24.1663
4,29.3141
