CLICKS, MaxCPM5
1474368906,3,46
1474368916,3,26
1474368926,4,28
1474368936,9,79
1474368946,4,58
1474368956,2,20
1474368966,1,14
1474368976,5,77
1474368986,5,45
1474368996,9,81
1474369006,4,91
1474369016,5,43
1474369026,10,172
1474369036,6,48
1474369046,6,52
1474369056,6,94
1474369066,6,62
1474369076,3,31
1474369086,6,153
1474369096,5,60
1474369106,6,66
1474369116,8,115
1474369126,2,30
1474369136,3,24
1474369146,5,45
1474369156,7,136
1474369166,8,145
1474369176,9,112
1474369186,9,380
1474369196,6,83
1474369206,7,84
1474369216,8,110
1474369226,4,162
1474369236,4,26
1474369246,2,30
1474369256,6,63
1474369266,4,37
1474369276,6,37
1474369286,2,68
1474369296,5,52
1474369306,3,20
1474369316,3,30
1474369326,5,48
1474369336,4,38
1474369346,7,118
1474369356,7,78
1474369366,6,42
1474369376,6,115
1474369386,6,57
1474369396,5,64
1474369406,6,64
1474369416,8,277
1474369426,5,45
1474369436,5,63
1474369446,4,37
1474369456,5,48
1474369466,6,70
1474369476,9,731
1474369486,6,122
1474369496,13,160
1474369506,5,70
1474369516,11,97
1474369526,5,81
1474369536,6,55
1474369546,6,40
1474369556,6,80
1474369566,5,59
1474369576,10,161
1474369587,9,275
1474369597,5,39
1474369607,8,100
1474369617,4,41
1474369627,3,55
1474369637,7,126
1474369647,8,86
1474369657,5,75
1474369667,5,76
1474369677,5,54
1474369687,4,32
1474369697,5,57
1474369707,4,66
1474369717,8,165
1474369727,8,137
1474369737,5,52
1474369747,7,143
1474369757,8,178
1474369767,7,66
1474369777,3,48
1474369787,5,41
1474369797,6,107
1474369807,4,44
1474369817,7,64
1474369827,6,56
1474369837,9,199
1474369847,9,141
1474369857,6,63
1474369867,4,59
1474369877,5,66
1474369887,3,26
1474369897,5,33
1474369907,8,90
1474369917,3,54
1474369927,8,92
1474369937,7,67
1474369947,4,49
1474369957,6,75
1474369967,7,85
1474369977,5,70
1474369987,2,19
1474369997,4,49
1474370007,4,33
1474370017,7,58
1474370027,5,73
1474370037,7,58
1474370047,11,165
1474370057,5,124
1474370067,9,69
1474370077,2,33
1474370087,2,26
1474370097,7,62
1474370107,7,80
1474370117,7,112
1474370127,6,95
1474370137,5,71
1474370147,8,107
1474370157,5,57
1474370167,4,31
1474370177,6,62
1474370187,4,50
1474370197,8,129
1474370207,3,44
1474370217,2,16
1474370227,5,42
1474370237,2,53
1474370247,4,25
1474370257,2,28
1474370267,3,18
1474370277,5,39
1474370287,4,63
1474370297,11,140
1474370307,6,71
1474370317,9,75
1474370327,3,52
1474370337,4,25
1474370347,7,76
1474370357,5,48
1474370367,7,53
1474370377,1,56
1474370387,2,16
1474370397,8,122
1474370407,8,90
1474370417,8,83
1474370427,7,113
1474370437,4,27
1474370447,7,145
1474370457,2,42
1474370467,3,25
1474370477,6,56
1474370487,6,56
1474370497,5,44
1474370507,7,76
1474370517,6,86
1474370527,2,31
1474370537,4,28
1474370547,6,71
1474370557,4,64
1474370567,6,41
1474370577,3,37
1474370587,6,48
1474370597,8,398
1474370608,5,115
1474370618,7,66
1474370628,4,59
1474370638,4,37
1474370648,1,27
1474370658,7,69
1474370668,3,33
1474370678,4,39
1474370688,5,44
1474370698,5,113
1474370708,8,123
1474370718,5,104
1474370728,1,42
1474370738,2,20
1474370748,0,0
1474370758,7,77
1474370768,6,118
1474370778,9,323
1474370788,6,55
1474370798,7,65
1474370808,7,125
1474370818,5,68
1474370828,6,63
1474370838,5,38
1474370848,6,80
1474370858,6,54
1474370868,10,116
1474370878,6,128
1474370888,6,71
1474370898,4,43
1474370908,4,28
1474370918,3,47
1474370928,5,53
1474370938,5,43
1474370948,6,65
1474370958,5,41
1474370968,2,42
1474370978,3,22
1474370988,4,34
1474370998,7,88
1474371008,2,53
1474371018,5,62
1474371028,7,94
1474371038,8,126
1474371048,8,87
1474371058,6,103
1474371068,2,20
1474371078,5,43
1474371088,6,57
1474371098,4,39
1474371108,5,46
1474371118,5,118
1474371128,9,114
1474371138,3,31
1474371148,7,73
1474371158,11,129
1474371168,5,142
1474371178,6,63
1474371188,5,59
1474371198,4,48
1474371208,4,40
1474371218,5,37
1474371228,4,41
1474371238,6,136
1474371248,5,58
1474371258,8,120
1474371268,2,64
1474371278,8,230
1474371288,6,86
1474371298,5,61
1474371308,6,115
1474371318,5,113
1474371328,4,38
1474371338,9,157
1474371348,4,69
1474371358,9,128
1474371368,5,131
1474371378,3,45
1474371388,8,105
1474371398,11,128
1474371408,7,75
1474371418,7,142
1474371428,5,136
1474371438,5,59
1474371448,5,55
1474371458,6,65
1474371468,3,43
1474371478,9,122
1474371488,3,30
1474371498,4,28
1474371508,6,65
1474371518,2,81
1474371528,7,193
1474371538,5,41
1474371548,6,82
1474371558,6,94
1474371568,11,188
1474371578,6,70
1474371588,6,57
1474371598,8,112
1474371608,5,69
1474371618,3,37
1474371628,4,30
1474371638,4,41
1474371649,7,59
1474371659,8,125
1474371669,10,86
1474371679,3,53
1474371689,7,227
1474371699,6,128
1474371709,1,66
1474371719,6,64
1474371729,6,65
1474371739,5,78
1474371749,8,99
1474371759,9,191
1474371769,6,67
1474371779,4,83
1474371789,9,71
1474371799,4,88
1474371809,5,42
1474371819,7,124
1474371829,6,54
1474371839,9,164
1474371849,5,95
1474371859,3,38
1474371869,7,71
1474371879,5,81
1474371889,4,32
1474371899,6,77
1474371909,8,99
1474371919,8,80
1474371929,5,65
1474371939,7,45
1474371949,11,127
1474371959,6,123
1474371969,5,38
1474371979,5,45
1474371989,5,48
1474371999,7,69
1474372009,7,115
1474372019,4,44
1474372029,2,26
1474372039,10,163
1474372049,7,87
1474372059,9,146
1474372069,1,19
1474372079,4,29
1474372089,4,35
1474372099,2,33
1474372109,6,50
1474372119,3,69
1474372129,7,57
1474372139,10,137
1474372149,5,87
1474372159,6,62
1474372169,4,35
1474372179,9,290
1474372189,6,107
1474372199,8,113
1474372209,7,75
1474372219,6,150
1474372229,7,90
1474372239,5,53
1474372249,6,53
1474372259,3,57
1474372269,11,93
1474372279,4,64
1474372289,1,32
1474372299,4,19
1474372309,4,50
1474372319,8,257
1474372329,5,38
1474372339,5,69
1474372349,8,79
1474372359,6,88
1474372369,4,72
1474372379,6,65
1474372389,5,41
1474372399,11,97
1474372409,6,97
1474372419,4,48
1474372429,4,28
1474372439,3,26
1474372449,5,42
1474372459,5,84
1474372469,3,33
1474372479,3,29
1474372489,4,26
1474372499,7,89
1474372509,7,94
1474372519,6,81
1474372529,8,67
1474372539,4,38
1474372549,3,22
1474372559,9,111
1474372569,4,43
1474372579,5,88
1474372589,3,22
1474372599,6,114
1474372609,6,53
1474372619,5,71
1474372629,4,30
1474372639,3,38
1474372649,6,92
1474372659,7,65
1474372670,4,60
1474372680,7,92
1474372690,6,100
1474372700,9,172
1474372710,6,83
1474372720,3,33
1474372730,5,32
1474372740,7,70
1474372750,4,60
1474372760,3,53
1474372770,4,29
1474372780,3,28
1474372790,6,67
1474372800,6,69
1474372810,7,71
1474372820,6,69
1474372830,7,56
1474372840,8,116
1474372850,10,81
1474372860,4,63
1474372870,3,30
1474372880,7,77
1474372890,8,81
1474372900,3,60
1474372910,5,52
1474372920,3,37
1474372930,6,60
1474372940,11,221
1474372950,6,68
1474372960,5,46
1474372970,2,23
1474372980,7,76
1474372990,5,476
1474373000,3,27
1474373010,5,36
1474373020,6,52
1474373030,7,121
1474373040,5,54
1474373050,6,87
1474373060,3,60
1474373070,4,29
1474373080,3,37
1474373090,8,102
1474373100,6,152
1474373110,3,35
1474373120,3,23
1474373130,9,148
1474373140,2,27
1474373150,3,22
1474373160,8,86
1474373170,3,46
1474373180,8,211
1474373190,3,28
1474373200,8,85
1474373210,4,37
1474373220,7,112
1474373230,5,55
1474373240,3,43
1474373250,10,72
1474373260,6,106
1474373270,4,64
1474373280,7,90
1474373290,0,0
1474373300,6,140
1474373310,5,64
1474373320,5,56
1474373330,2,29
1474373340,3,24
1474373350,7,79
1474373360,5,76
1474373370,7,141
1474373380,2,41
1474373390,7,58
1474373400,9,140
1474373410,7,144
1474373420,6,112
1474373430,8,113
1474373440,5,48
1474373450,4,37
1474373460,8,175
1474373470,4,54
1474373480,6,55
1474373490,4,45
1474373500,8,73
1474373510,5,257
1474373520,4,28
1474373530,8,140
1474373540,8,118
1474373550,6,52
1474373560,7,89
1474373570,9,134
1474373580,3,45
1474373590,6,51
1474373600,9,174
1474373610,10,249
1474373620,7,64
1474373630,6,123
1474373640,5,37
1474373650,4,34
1474373660,5,50
1474373670,6,53
1474373680,5,53
1474373690,10,355
1474373700,5,51
1474373711,7,91
1474373721,5,68
1474373731,5,72
1474373741,5,62
1474373751,4,42
1474373761,4,48
1474373771,3,20
1474373781,4,41
1474373791,3,40
1474373801,0,0
1474373811,3,13
1474373821,8,98
1474373831,7,153
1474373841,3,104
1474373851,5,35
1474373861,7,58
1474373871,11,153
1474373881,13,231
1474373891,8,89
1474373901,4,83
1474373911,7,139
1474373921,7,84
1474373931,3,31
1474373941,5,52
1474373951,7,125
1474373961,4,46
1474373971,7,374
1474373981,6,72
1474373991,6,51
1474374001,3,35
1474374011,4,42
1474374021,5,51
1474374031,3,44
1474374041,5,62
1474374051,8,108
1474374061,2,32
1474374071,6,57
1474374081,5,37
1474374091,10,171
1474374101,8,87
1474374111,8,281
1474374121,6,115
1474374131,5,43
1474374141,5,45
1474374151,9,99
1474374161,1,36
1474374171,13,252
1474374181,7,73
1474374191,9,70
1474374201,6,109
1474374211,5,106
1474374221,7,88
1474374231,11,255
1474374241,3,34
1474374251,6,42
1474374261,2,48
1474374271,2,24
1474374281,3,18
1474374291,6,55
1474374301,4,43
1474374311,2,34
1474374321,7,133
1474374331,5,59
1474374341,8,165
1474374351,7,114
1474374361,4,73
1474374371,6,56
1474374381,6,65
1474374391,3,51
1474374401,10,130
1474374411,11,250
1474374421,5,89
1474374431,5,47
1474374441,5,41
1474374451,10,127
1474374461,3,33
1474374471,4,40
1474374481,11,193
1474374491,9,134
1474374501,6,90
1474374511,1,18
1474374521,4,31
1474374531,3,25
1474374541,7,75
1474374551,7,74
1474374561,2,35
1474374571,7,67
1474374581,5,56
1474374591,8,83
