CLICKS, MaxCPM7
2,203.3111
7,101.7442
7,79.1676
4,98.9959
5,58.6265
6,82.8402
8,166.8653
9,154.0493
8,149.2537
5,76.6032
4,70.0000
7,84.0437
3,90.6971
5,50.5817
1,31.7763
6,66.2252
6,93.0233
3,89.8473
7,119.3521
7,105.2157
5,161.2532
2,63.7813
7,83.9832
9,142.6243
3,58.3139
5,64.4211
5,73.3061
4,66.8577
5,67.0049
5,71.8760
6,74.2233
3,63.9328
10,91.7672
6,153.6098
5,59.6964
3,61.5872
6,63.0801
6,76.9738
5,94.6330
6,69.3756
2,66.2691
2,38.8544
6,60.4125
5,94.1113
7,93.7458
7,120.1304
7,180.1802
5,95.2511
13,173.9130
5,127.7372
3,46.4499
4,46.0617
3,42.3549
8,120.4819
7,115.3403
3,80.4136
4,50.9424
7,93.2836
5,64.5935
7,74.6428
5,92.9491
6,64.5816
5,91.1221
4,62.4275
5,73.4985
4,46.8040
3,44.0556
7,127.2265
6,109.8212
7,95.3289
4,75.6675
3,50.5525
2,35.7562
2,27.4510
5,40.9022
6,86.2281
8,135.7642
7,100.5603
3,106.3830
3,49.2576
7,76.8893
3,78.9711
6,83.0368
3,101.0539
6,61.5439
7,111.1464
5,100.0572
7,134.6672
2,62.5950
7,90.8383
5,95.9036
5,56.6618
6,69.4858
5,74.0192
2,103.8422
9,140.8451
5,131.9261
9,98.3699
6,86.0479
5,73.6920
5,89.7436
7,98.5499
5,82.2562
9,164.0112
2,53.2846
2,36.9744
2,22.5741
5,79.9269
4,62.9780
4,75.0027
5,54.1335
11,278.8845
8,118.7044
12,223.3567
8,170.3992
8,118.6843
4,105.2790
2,55.9955
3,31.8878
7,143.9145
6,109.1533
4,60.8273
6,67.5610
2,56.0224
2,38.8997
2,27.9709
4,37.8440
5,47.9879
5,111.1817
6,66.0502
7,135.5014
2,67.0370
3,34.0401
6,89.6287
8,148.4309
7,195.4216
6,69.8463
4,73.9567
7,88.0171
3,57.7701
5,67.2366
3,54.2341
1,29.4204
6,85.2827
6,64.4152
5,89.7896
4,59.0418
1,43.2179
5,44.2198
9,136.2663
7,93.3707
4,88.8663
4,75.0429
7,75.9301
6,84.6843
4,109.8556
5,58.7643
3,58.6609
5,71.6919
3,71.1310
7,99.3049
5,157.6576
2,65.8514
4,35.7928
5,65.9755
5,117.2922
3,54.1000
5,75.4473
6,71.0083
3,100.1287
4,41.8560
2,38.5314
5,44.1028
7,84.7355
7,133.0798
5,77.3652
1,47.9682
3,29.6485
6,74.6507
6,86.3984
7,116.4338
8,131.3814
3,88.9454
2,36.7184
3,28.6756
0,0.0000
6,35.5908
5,75.4148
1,35.0824
6,91.5751
7,78.0901
3,47.3229
8,79.8996
2,73.1147
2,57.9326
4,37.9960
2,29.8075
2,32.4675
5,45.1934
9,130.6214
4,125.4705
6,58.4210
8,162.9802
6,145.4697
6,88.1945
3,54.3520
2,39.7208
3,39.8316
3,32.3924
7,92.2266
3,159.6351
3,50.2801
4,45.2576
6,118.0040
3,51.7751
8,118.9465
5,96.0088
5,64.1790
8,113.1770
4,78.5194
1,40.2669
4,37.3513
8,116.6667
8,95.5501
5,108.8309
6,95.1734
5,68.9587
6,78.3962
4,51.5464
3,50.1433
7,71.5454
4,68.3661
10,182.3392
8,177.9359
4,71.0371
5,87.3145
4,59.6760
6,125.0447
7,83.5322
6,78.1774
7,119.4335
7,145.3488
2,59.9110
6,68.7893
7,105.1999
11,185.6271
3,125.9219
3,45.8505
6,86.3664
5,62.3108
5,64.6412
3,78.6340
4,45.9800
5,96.2199
6,60.3552
4,67.7245
4,67.5219
5,66.4894
4,58.6854
6,76.0622
3,85.6898
4,52.7744
5,49.7937
6,138.8338
1,45.8475
3,32.6981
7,112.0717
7,95.4719
8,136.1338
7,101.7886
3,98.6749
3,44.7341
6,65.7833
1,42.9817
4,43.2981
4,59.6049
7,83.5223
4,104.3375
6,84.8382
5,92.9491
6,88.8889
3,50.3488
2,43.2179
7,79.5184
3,47.8240
2,38.3016
4,39.1236
3,36.9510
5,54.8718
3,53.1309
6,68.5401
3,61.7393
3,50.5415
5,51.4895
7,110.1495
5,85.5537
4,62.0788
2,47.1571
3,36.7165
4,46.2994
12,251.3465
5,99.1501
7,103.7498
4,90.4627
0,0.0000
5,27.0573
4,67.2948
8,105.0263
5,246.2188
5,54.6790
7,84.1650
5,64.3501
7,108.9664
6,76.5111
1,63.0915
8,87.1623
5,79.6994
4,80.9810
3,51.0055
5,42.9764
6,142.5952
9,109.2214
5,173.2245
10,194.4985
6,83.2145
5,64.0439
6,73.5913
3,62.9723
1,36.2169
9,199.3166
4,82.0537
5,83.0368
5,84.1953
6,63.9094
5,92.6294
6,106.0445
6,67.3725
5,104.5556
5,60.7059
7,91.8033
4,95.2900
5,45.6889
7,130.4024
4,82.2562
7,78.7047
5,100.3009
9,176.9017
6,123.5004
2,63.9386
6,48.2393
5,80.4598
6,63.9678
7,207.3460
2,83.1255
1,33.0002
4,27.8629
2,32.6736
3,43.1566
4,48.9168
5,43.1433
5,66.7429
2,40.7403
4,39.5525
0,0.0000
6,31.1762
6,181.0189
4,62.7128
2,39.3369
6,50.7430
5,79.0960
3,57.1335
6,85.0134
4,64.2438
4,76.8049
8,129.9183
3,70.3447
3,45.9498
6,64.8989
7,131.9261
10,169.4505
8,128.3462
5,92.8259
3,52.4305
2,35.4341
7,101.3465
7,110.4275
8,120.7521
5,108.3759
9,138.2579
5,78.4841
5,62.6062
8,99.8004
7,162.1121
3,51.7178
5,63.1940
3,63.9503
4,42.4860
6,73.5526
4,71.0444
3,58.3674
1,35.3393
5,32.5672
4,51.8058
2,36.0193
5,94.2761
8,117.5285
3,92.9985
5,40.2461
5,94.1746
4,54.6192
5,62.7578
4,85.9107
5,56.9940
5,66.8385
6,110.0975
4,52.6316
3,52.0795
7,77.5967
3,66.1563
4,55.9687
6,50.3488
8,98.5638
7,88.8663
4,66.9600
6,91.0984
7,78.1948
4,99.9714
1,38.3478
8,114.1925
3,57.6559
4,52.0214
4,53.2077
