CLICKS, MaxCPM5
8,195.4397
4,52.0382
4,42.6257
3,20.5832
2,27.0392
3,26.6359
8,96.0615
5,122.3990
4,39.0117
6,87.4126
9,147.7105
3,32.4710
4,35.3565
6,46.1396
10,140.3837
5,76.1808
2,31.6589
6,54.6548
8,75.6048
7,151.0574
3,36.9276
5,54.2790
4,27.5533
7,76.6871
7,79.5967
11,145.3488
8,78.6576
2,70.1919
7,49.0597
4,74.2207
2,38.8299
7,69.0290
5,41.3565
6,93.5746
6,47.5210
7,139.9907
9,115.1632
7,155.0388
2,41.6609
9,127.8772
6,76.3748
6,93.3707
8,153.2959
5,67.3099
5,53.2292
7,78.0640
6,63.4249
2,33.4262
5,41.2485
6,84.9618
4,26.2720
10,196.9796
6,105.1893
5,88.1057
6,43.1530
12,278.2931
10,170.8428
4,55.1572
7,62.2278
9,163.3097
5,48.9556
6,49.5540
3,32.3939
11,161.0306
6,78.3290
5,91.0747
6,41.3679
5,90.1984
7,97.2132
3,37.5375
7,67.4916
5,50.8561
6,53.7924
6,49.8587
2,33.7724
3,19.2246
3,45.0180
6,40.9948
8,84.9377
7,166.8520
5,71.5649
6,87.5401
5,55.0459
3,30.6466
5,62.5391
5,69.4123
7,74.7757
2,45.3583
4,30.3582
2,28.9240
13,168.0672
6,91.7712
5,43.2713
2,24.5720
3,23.1018
5,57.1864
4,36.3769
5,51.0117
1,24.2385
9,647.9482
7,151.2097
3,65.4165
4,25.4691
3,29.2597
5,35.1288
4,50.5306
5,79.9148
2,33.0578
2,22.1451
5,35.6464
3,42.2476
1,26.0213
4,19.7889
8,98.9772
6,84.0101
7,125.7334
6,71.4286
7,112.9093
7,59.1366
3,47.0514
6,119.8562
6,95.1777
3,51.0031
10,166.3894
3,53.7153
6,49.0757
8,88.4695
8,68.8231
5,53.4855
7,69.2521
5,94.0144
