CLICKS, MaxCPM5
1474402959,5,55
1474402969,4,31
1474402979,3,29
1474402989,5,51
1474402999,3,32
1474403009,4,34
1474403019,5,41
1474403029,5,64
1474403039,5,54
1474403049,7,103
1474403059,4,78
1474403069,4,46
1474403079,1,26
1474403089,5,49
1474403099,7,103
1474403109,3,44
1474403119,4,36
1474403129,2,27
1474403139,8,196
1474403149,5,88
1474403159,11,113
1474403169,8,118
1474403179,7,81
1474403189,7,125
1474403199,4,66
1474403209,4,29
1474403219,2,24
1474403229,8,126
1474403239,5,109
1474403249,6,88
1474403259,6,49
1474403269,3,29
1474403279,6,85
1474403289,5,53
1474403299,7,92
1474403309,5,75
1474403319,11,126
1474403329,2,30
1474403339,1,16
1474403349,3,19
1474403359,4,26
1474403369,9,191
1474403379,3,50
1474403389,7,54
1474403399,3,45
1474403409,8,110
1474403419,6,75
1474403429,3,48
1474403439,7,57
1474403449,5,83
1474403459,9,236
1474403469,8,107
1474403479,5,60
1474403489,8,86
1474403499,5,53
1474403509,2,53
1474403519,8,137
1474403529,7,92
1474403539,6,59
1474403549,5,117
1474403559,6,46
1474403569,3,24
1474403579,5,60
1474403589,5,53
1474403599,4,65
1474403609,5,62
1474403619,6,71
1474403629,6,68
1474403639,3,24
1474403649,8,85
1474403659,11,240
1474403669,6,59
1474403679,4,44
1474403689,5,66
1474403699,4,154
1474403709,3,59
1474403719,4,32
1474403729,4,41
1474403739,4,38
1474403749,6,53
1474403759,6,47
1474403769,10,103
1474403780,6,105
1474403790,4,40
1474403800,5,72
1474403810,6,40
1474403820,6,167
1474403830,6,41
1474403840,7,93
1474403850,3,59
1474403860,2,21
1474403870,4,24
1474403880,3,52
1474403890,3,36
1474403900,0,0
1474403910,3,13
1474403920,9,149
1474403930,6,76
1474403940,2,24
1474403950,7,55
1474403960,3,57
1474403970,6,57
1474403980,3,43
1474403990,2,18
1474404000,3,25
1474404010,5,43
1474404020,5,52
1474404030,8,112
1474404040,6,89
1474404050,2,29
1474404060,7,72
1474404070,4,67
1474404080,5,43
1474404090,4,69
1474404100,4,32
1474404110,9,183
1474404120,4,43
1474404130,4,58
1474404140,3,38
1474404150,6,43
1474404160,7,64
1474404170,9,115
1474404180,3,37
1474404190,3,46
1474404200,4,26
1474404210,7,48
1474404220,6,91
1474404230,5,43
1474404240,5,58
1474404250,6,96
